id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Move Tool,Photoshop,Toolbar,"Drags layers, selections and guides around the canvas, and doubles as the hub for aligning and distributing layers via the options bar. The first tool architects reach for when repositioning trees, people and other entourage in a render collage.",V,,beginner,tool|layers|positioning,edit|transform,layer,move,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Artboard Tool,Photoshop,Toolbar,Creates and resizes artboards so several presentation boards or drawing sheets can live in one document. Handy for laying out a portfolio spread or a set of diagram variants side by side.,V,,intermediate,tool|artboards|layout,create|organise,layout,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Rectangular Marquee Tool,Photoshop,Toolbar,Draws rectangular pixel selections; hold Shift for a square. Useful for isolating a facade bay or cropping a clean strip of sky before adjustment.,M,,beginner,tool|selection,edit,layer,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Elliptical Marquee Tool,Photoshop,Toolbar,"Draws oval and circular selections; hold Shift to constrain to a circle. Reached for when masking round elements such as sun discs, vignettes or circular diagram callouts.",M,,beginner,tool|selection,edit,layer,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Lasso Tool,Photoshop,Toolbar,Freehand selection tool for quickly ringing an irregular area. Good for rough masks around foliage or loose regions you intend to refine or feather afterwards.,L,,beginner,tool|selection|freehand,edit,layer,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Polygonal Lasso Tool,Photoshop,Toolbar,"Builds a selection from straight-edged clicks, which suits the hard geometry of buildings. The go-to for cutting a facade or roofline cleanly out of a photograph.",L,,beginner,tool|selection|straight edges,edit,layer,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Magnetic Lasso Tool,Photoshop,Toolbar,"Snaps a selection edge to contrast boundaries as you trace, useful where a building meets sky. Works best on clean, high-contrast edges; noisy textures may need manual clicks.",L,,intermediate,tool|selection|edge detection,edit,layer,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Object Selection Tool,Photoshop,Toolbar,"Drag a rough box around an object and Photoshop finds its edges automatically. A fast way to isolate a person, tree or vehicle for masking into a render.",W,,beginner,tool|selection|ai,edit,layer,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Quick Selection Tool,Photoshop,Toolbar,"Paints a selection that grows along similar tones and edges as you drag. Useful for grabbing large coherent areas such as a lawn, a wall plane or a stretch of paving.",W,,beginner,tool|selection|brush,edit,layer,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Magic Wand Tool,Photoshop,Toolbar,"Selects contiguous pixels of similar colour in one click, controlled by a tolerance value. Ideal for lifting flat-colour areas out of exported CAD elevations or diagram fills.",W,,beginner,tool|selection|colour,edit,layer,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Crop Tool,Photoshop,Toolbar,"Trims or extends the canvas, with ratio presets, overlay guides and straightening built in. Essential for composing final render crops to a consistent board format.",C,,beginner,tool|crop|composition,edit|document,layout|view,cut,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Perspective Crop Tool,Photoshop,Toolbar,"Crops while remapping a skewed plane to a straight-on rectangle. Perfect for rectifying photographs of drawings, site boards or facades shot at an angle.",C,,intermediate,tool|crop|perspective,edit|transform,view,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Frame Tool,Photoshop,Toolbar,"Draws rectangular or elliptical placeholder frames that images drop into and auto-mask, much like InDesign frames. Useful for building portfolio board templates directly in Photoshop.",K,,beginner,tool|placeholder|layout,create|organise,layout|layer,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Eyedropper Tool,Photoshop,Toolbar,Samples a colour from the canvas into the foreground swatch. Reach for it when matching material tones across a render or picking a palette from a reference photograph.,I,,beginner,tool|colour|sampling,analyse,layer,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Ruler Tool,Photoshop,Toolbar,Measures distances and angles on the canvas and can straighten a tilted layer from the options bar. Useful for checking proportions or levelling a skewed site photograph.,I,,beginner,tool|measure,analyse,view,measure,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Spot Healing Brush Tool,Photoshop,Toolbar,"Removes small blemishes in one dab by sampling the surroundings automatically. The quickest fix for sensor dust, stray cables or minor render artefacts.",J,,beginner,tool|retouch|healing,edit,layer,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Healing Brush Tool,Photoshop,Toolbar,"Paints with texture from an Alt-clicked source point while blending tone and lighting from the destination. Gives more control than the spot version when repairing brick, render or concrete textures.",J,,intermediate,tool|retouch|healing,edit,layer,copy,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Patch Tool,Photoshop,Toolbar,"Drag a selected problem area onto clean texture and Photoshop blends the repair in. Efficient for erasing large distractions such as skips, signage or parked cars from site photographs.",J,,intermediate,tool|retouch,edit,layer,move|copy,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Remove Tool,Photoshop,Toolbar,"Brush over an unwanted object and machine learning reconstructs the background behind it. Faster than manual cloning for clearing wires, bins and people from context photographs.",J,,beginner,tool|retouch|ai,edit,layer,,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
,Content-Aware Move Tool,Photoshop,Toolbar,Moves a selected object to a new position while filling the hole it leaves and blending it into its new surroundings. Useful for nudging entourage or street furniture to improve a composition.,J,,intermediate,tool|retouch|recompose,edit|transform,layer,move,,,https://helpx.adobe.com/uk/photoshop/using/default-keyboard-shortcuts.html
