id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Direct Link Sync,Twinmotion,Import,"Establishes a live one-click bridge between Twinmotion and a CAD or BIM authoring tool such as Archicad, Revit, SketchUp, Rhino or Vectorworks. Each time you press synchronise, design changes flow into the Twinmotion scene while materials, vegetation and lighting you have already applied stay in place, which keeps the visualisation model in step with the design model throughout a project.",,Datasmith Exporter plugin (host application),beginner,import|direct link|bim|sync|revit|archicad|sketchup|rhino,create|edit,mesh,,,,https://twinmotionhelp.epicgames.com/
,Import File,Twinmotion,Import,"Brings external geometry into the scene from common interchange formats such as FBX, OBJ and C4D. Use it for models exported from tools without a Direct Link plugin, or for one-off props and context buildings that do not need to stay synchronised with a design file.",,,beginner,import|fbx|obj|geometry,create,mesh,,,,https://twinmotionhelp.epicgames.com/
,Import Datasmith File,Twinmotion,Import,"Loads a .udatasmith file exported from a CAD or BIM package, preserving the source hierarchy, materials, metadata and pivots far better than generic mesh formats. For archviz teams this is the most reliable file-based route from Revit or 3ds Max into Twinmotion when a live Direct Link session is not practical.",,Datasmith Exporter plugin (host application),beginner,import|datasmith|udatasmith|bim,create,mesh,,,,https://twinmotionhelp.epicgames.com/
,Update Imported Model,Twinmotion,Import,"Refreshes a previously imported file after the source model changes, re-reading the geometry while retaining the Twinmotion-side work you have layered on top, such as material substitutions and placed assets. This makes iterative design review practical, because the scene does not have to be rebuilt for every revision.",,,beginner,import|reimport|update|revision,edit,mesh,,,,https://twinmotionhelp.epicgames.com/
,Import Options: Collapse,Twinmotion,Import,"Controls how incoming geometry is grouped on import: keep the full source hierarchy, collapse by material, or collapse everything into a single object. Collapsing by material keeps large context models light and makes whole-scene material swaps quick, while keeping the hierarchy preserves per-object editing for the main building.",,,intermediate,import|collapse|hierarchy|performance,organise,mesh,join,,,https://twinmotionhelp.epicgames.com/
,Import Landscape,Twinmotion,Import,"Generates terrain from a greyscale heightmap image so a site model can sit in believable topography. Handy for masterplanning work where surveyed contour data has been converted to a heightmap, or for quickly sketching rolling context around a rural scheme.",,,intermediate,import|landscape|terrain|heightmap|site,create,mesh|surface,,,,https://twinmotionhelp.epicgames.com/
,Import Point Cloud,Twinmotion,Import,"Loads laser-scan or photogrammetry point cloud data so existing buildings and streetscapes can serve as accurate context around a proposal. Point density can be tuned to balance visual fidelity against viewport performance, which matters on large heritage or retrofit surveys.",,,intermediate,import|point cloud|scan|survey|context,create|analyse,point,,,,https://twinmotionhelp.epicgames.com/
,Substitute Object,Twinmotion,Import,"Replaces imported placeholder geometry with a richer Twinmotion library asset, and can apply the swap to every instance of that object in one action. A typical use is exchanging blocky BIM trees, cars or people for animated, high-quality equivalents without touching the source model.",,,intermediate,substitution|replace|placeholder|bim|instances,edit,mesh,copy,,,https://twinmotionhelp.epicgames.com/
,Walk Mode,Twinmotion,Viewport,"Moves the camera at eye level with gravity and collision, so you explore the scheme the way a visitor would walk it. Eye height and walking speed are adjustable, which is useful for checking sightlines, handrail heights and the feel of compressed or generous spaces.",,,beginner,navigation|walk|first person|collision|eye level,visualise|analyse,view,navigate,,,https://twinmotionhelp.epicgames.com/
,Fly Mode,Twinmotion,Viewport,"Frees the camera from gravity so you can move anywhere in the scene, from aerial masterplan views down to tight interior corners. It is the default way to compose bird's-eye shots and to move quickly between distant parts of a large site.",,,beginner,navigation|fly|aerial|camera,visualise,view,navigate,,,https://twinmotionhelp.epicgames.com/
,Navigation Speed,Twinmotion,Viewport,"Scales how fast the camera travels through the scene, from a slow interior crawl to rapid site-wide movement. Matching the speed to the task avoids overshooting doorways indoors and crawling across a masterplan outdoors.",,,beginner,navigation|speed|camera|viewport,visualise,view,navigate,,,https://twinmotionhelp.epicgames.com/
