id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,New Project,Premiere Pro,File > New > Project,"Creates a new project and opens the import view for selecting initial media. Start each film-of-the-project here, and keep one project per film to avoid media chaos.",Ctrl+Alt+N,,beginner,project|new|setup,create|organise,layout,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,New Sequence,Premiere Pro,File > New > Sequence,"Creates a timeline with chosen resolution, frame rate and audio track layout. Easier still: drag a clip onto the New Item button to make a sequence that matches the footage exactly.",Ctrl+N,,beginner,sequence|timeline|settings,create,layout,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Sequence Settings,Premiere Pro,Sequence > Sequence Settings,"Edits the active sequence's frame size, frame rate and preview format after creation. Check it first when renders come out the wrong shape.",,,intermediate,sequence|settings|frame rate,edit|organise,layout,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Import,Premiere Pro,File > Import,"Brings video, image sequences, audio and graphics into the project. Import rendered archviz shots and site footage into clearly named bins from day one.",Ctrl+I,,beginner,import|media|footage,create|organise,layout,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Media Browser,Premiere Pro,Window > Media Browser,"Browses drives and card structures with previews, importing media without leaving Premiere. Safer than Explorer for camera cards because it understands their folder formats.",Shift+8,,beginner,media browser|import|panel,organise|create,layout,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,New Bin,Premiere Pro,File > New > Bin,"Creates a folder in the Project panel for organising clips. A disciplined bin structure — footage, renders, audio, graphics, sequences — pays off on every project.",Ctrl+B,,beginner,bin|folder|organise,organise,layout,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Create Proxies,Premiere Pro,Right-click clips > Proxy > Create Proxies,"Generates lightweight copies of heavy footage that Premiere can switch to during editing, then swaps back for export. Essential for cutting 4K renders smoothly on a laptop; toggle them with the monitor's proxy button.",,,advanced,proxy|performance|footage,organise,layout,,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Selection Tool,Premiere Pro,Toolbar,"Selects, moves and trims clips directly in the timeline. The default tool — return to it after every specialist tool so stray clicks stay harmless.",V,,beginner,tool|select|timeline,edit,layer,move,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Track Select Forward Tool,Premiere Pro,Toolbar,Selects every clip from the click point to the end of the sequence; Shift+A selects backwards instead. Use it to shove the whole back half of an edit along when inserting a new scene.,A,,beginner,tool|track select|move,edit|organise,layer,move,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
,Ripple Edit Tool,Premiere Pro,Toolbar,"Trims a cut and automatically closes the gap, shifting everything downstream. The workhorse trimming tool — tighten shots without ever leaving black holes in the timeline.",B,,intermediate,tool|ripple|trim,edit,layer,cut|move,,,https://helpx.adobe.com/uk/premiere-pro/using/default-keyboard-shortcuts-cc.html
