id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Selection Tool,InDesign,Toolbar,"Selects, moves and resizes frames and their content as whole objects. The default state for laying out a portfolio spread — reach for it whenever you need to reposition images or text frames.",V,,beginner,tool|select|move|layout,edit|transform,layout,move|scale,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Direct Selection Tool,InDesign,Toolbar,Selects the content inside a frame or the individual anchor points of a path. Use it to reposition a placed drawing within its crop or to reshape a custom frame edge.,A,,beginner,tool|select|content|path,edit,layout|curve,move,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Type Tool,InDesign,Toolbar,"Creates text frames and edits the text inside them. The workhorse for captions, project descriptions and running copy in a publication.",T,,beginner,tool|type|text|frame,create|edit,layout|annotation,annotate,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Type on a Path Tool,InDesign,Toolbar,Flows text along any drawn path instead of inside a frame. Handy for labels that follow a site boundary or a curved diagram annotation.,Shift+T,,intermediate,tool|type|path|label,create,curve|annotation,annotate,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Line Tool,InDesign,Toolbar,"Draws straight rules and leader lines. Designers use it for keying diagrams, underlining headings and building simple linework on layout pages.",\,,beginner,tool|line|rule|draw,create,curve,annotate,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Pen Tool,InDesign,Toolbar,"Draws precise Bézier paths point by point, which can act as graphic linework or as custom frames for images. Useful when a portfolio spread needs a non-rectangular image crop.",P,,intermediate,tool|pen|path|bezier,create,curve,,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Add Anchor Point Tool,InDesign,Toolbar,Adds an anchor point to an existing path so you can bend it further. Reach for it when a frame edge or rule needs an extra kink without redrawing.,=,,intermediate,tool|anchor|path|edit,edit,curve,,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Delete Anchor Point Tool,InDesign,Toolbar,Removes an anchor point from a path while keeping the path intact. Use it to simplify traced shapes or tidy imported vector outlines.,-,,intermediate,tool|anchor|path|simplify,edit,curve,,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Pencil Tool,InDesign,Toolbar,"Draws freehand paths as you drag, smoothing them into editable curves. Occasionally useful for loose sketch-style annotations on presentation pages.",N,,beginner,tool|freehand|sketch|draw,create,curve,,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Rectangle Frame Tool,InDesign,Toolbar,"Draws empty placeholder frames marked with an X, ready to receive placed images. Ideal for blocking out a grid of image slots before the photography is final.",F,,beginner,tool|frame|placeholder|image,create|organise,layout,,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Rectangle Tool,InDesign,Toolbar,"Draws rectangles that can carry a fill and stroke, useful as colour blocks, backgrounds and diagram elements. Hold Shift while dragging to draw a square.",M,,beginner,tool|shape|rectangle|block,create,layout,,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Ellipse Tool,InDesign,Toolbar,"Draws ellipses and, with Shift held, perfect circles. Useful for key markers, north-point bases and circular image frames.",L,,beginner,tool|shape|circle|ellipse,create,layout,,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Polygon Tool,InDesign,Toolbar,Draws polygons and stars with a settable number of sides. Double-click the tool to set the side count before drawing hexagonal diagram tiles or similar shapes.,,,beginner,tool|shape|polygon,create,layout,,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Gap Tool,InDesign,Toolbar,"Adjusts the white space between frames, resizing the neighbouring objects on either side as you drag. Brilliant for fine-tuning gutters in a dense image grid without breaking the overall layout.",U,,intermediate,tool|gap|spacing|grid,edit|organise,layout,move|scale,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Scissors Tool,InDesign,Toolbar,"Cuts a path or frame edge at the point you click, splitting it into open segments. Use it to break a rule into pieces or open up a closed frame.",C,,intermediate,tool|cut|split|path,edit,curve,cut|split,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
,Free Transform Tool,InDesign,Toolbar,"Moves, scales, rotates and shears a selection from a single tool. Convenient when you are iterating quickly on the size and angle of collage elements.",E,,beginner,tool|transform|scale|rotate,transform,layout,move|scale|rotate,,,https://helpx.adobe.com/uk/indesign/using/default-keyboard-shortcuts.html
