id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Select Tool,Maya,Viewport,Switches to the standard selection tool so clicks and drags pick objects or components instead of transforming them. Reach for it whenever you want to drop out of a manipulator.,Q,,beginner,tools|selection|navigation,edit,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Move Tool,Maya,Viewport,Activates the translate manipulator so you can drag objects or components along axes or planes. The everyday tool for positioning anything in the scene.,W,,beginner,tools|transform,transform,mesh|curve|surface|point,move,,,https://www.autodesk.com/shortcuts/maya
,Rotate Tool,Maya,Viewport,Activates the rotate manipulator for spinning objects or components around an axis or the view. Use it with discrete snapping when you need clean angular increments.,E,,beginner,tools|transform,transform,mesh|curve|surface,rotate,,,https://www.autodesk.com/shortcuts/maya
,Scale Tool,Maya,Viewport,Activates the scale manipulator for resizing uniformly or per axis. Handy for quick proportional studies before committing to exact dimensions.,R,,beginner,tools|transform,transform,mesh|curve|surface,scale,,,https://www.autodesk.com/shortcuts/maya
,Show Manipulator Tool,Maya,Viewport,"Reveals a node's special-purpose manipulator, such as an extrude or projection handle, so you can adjust history inputs interactively in the viewport.",T,,intermediate,tools|history|construction history,edit,mesh|surface,move,,,https://www.autodesk.com/shortcuts/maya
,Switch to Last Tool,Maya,Viewport,"Reactivates the most recently used non-default tool, such as a curve or cut tool, without hunting through menus. Useful when alternating between drawing and transforming.",Y,,intermediate,tools|workflow,edit,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Edit Pivot,Maya,Viewport,"Hold the key (or press Insert) to reposition an object's pivot, then release to lock it in. Essential before rotating doors, arraying panels or mirroring around a specific point.",D,,intermediate,pivot|transform,transform|edit,mesh|curve|surface,move|rotate,,,https://www.autodesk.com/shortcuts/maya
,Frame Selected,Maya,Viewport,Centres the camera on the current selection so you can work close-up without manually dollying. Press with nothing selected in some panels to frame everything.,F,,beginner,camera|navigation,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Frame All,Maya,Viewport,"Zooms the active view out to fit every visible object, giving you an instant overview of the whole scene or model.",A,,beginner,camera|navigation,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Tumble Camera,Maya,Viewport,Orbits the camera around its centre of interest by holding Alt and dragging with the left mouse button. The core gesture for inspecting a model from every angle.,Alt+LMB,,beginner,camera|navigation,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Track Camera,Maya,Viewport,Pans the camera parallel to the view plane with Alt and the middle mouse button. Use it to slide across a facade or plan without changing viewing angle.,Alt+MMB,,beginner,camera|navigation,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Dolly Camera,Maya,Viewport,"Moves the camera towards or away from the subject with Alt and the right mouse button, or via the scroll wheel. Combine with Frame Selected to control zoom precisely.",Alt+RMB,,beginner,camera|navigation,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Wireframe Display,Maya,Viewport,"Shows the active panel in wireframe, exposing topology and hidden geometry at once. Useful for checking edge flow or selecting through objects.",4,,beginner,display|shading,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Shaded Display,Maya,Viewport,Displays smooth-shaded surfaces so you can judge form and massing. The default working mode for most modelling tasks.,5,,beginner,display|shading,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Textured Display,Maya,Viewport,"Shows shaded geometry with textures applied, letting you preview materials and UV placement directly in the viewport.",6,,beginner,display|shading|materials,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Lighted Display,Maya,Viewport,Previews the scene using its actual lights instead of default viewport lighting. A quick sanity check on lighting design before rendering.,7,,intermediate,display|lighting,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Original Mesh Display,Maya,Viewport,Shows the unsmoothed base cage of a polygon mesh. Switch back here when you need to edit raw topology without subdivision preview.,1,,beginner,display|subdivision|polygon modelling,visualise,mesh|subd,navigate,,,https://www.autodesk.com/shortcuts/maya
,Cage and Smooth Preview,Maya,Viewport,"Displays the subdivided surface with the editable cage overlaid, so you can tweak low-poly control geometry while watching the smoothed result.",2,,intermediate,display|subdivision|polygon modelling,visualise|edit,mesh|subd,smooth|navigate,,,https://www.autodesk.com/shortcuts/maya
,Smooth Mesh Preview,Maya,Viewport,Previews the selected mesh fully subdivided without adding real geometry. Ideal for judging curved forms while keeping the cage light and editable.,3,,beginner,display|subdivision|polygon modelling,visualise,mesh|subd,smooth|navigate,,,https://www.autodesk.com/shortcuts/maya
,X-Ray Display,Maya,Viewport,"Makes shaded geometry semi-transparent via the panel's Shading menu, so you can see and snap to elements behind other objects. Helpful when modelling interiors inside a shell.",,,intermediate,display|shading,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Wireframe on Shaded,Maya,Viewport,Overlays wireframe edges on shaded surfaces from the panel's Shading menu. Great for reading topology density while still seeing form.,,,beginner,display|shading,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Isolate Select,Maya,Viewport,Temporarily hides everything except the current selection in the active panel. Perfect for detailing one component of a crowded scene without touching visibility layers.,Ctrl+1,,intermediate,display|visibility|focus,organise|visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Hotbox,Maya,Viewport,"Holding the spacebar pops up every menu set around the cursor, letting you reach any command without leaving the viewport. A major speed boost once learned.",Space (hold),,intermediate,menus|workflow|marking menus,edit,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Toggle Panel Layout,Maya,Viewport,Tapping the spacebar switches between a single maximised panel and the four-view layout. Use it to jump between perspective work and orthographic checks.,Space,,beginner,panels|layout|navigation,visualise,view|layout,navigate,,,https://www.autodesk.com/shortcuts/maya
,Toggle Full-Screen UI,Maya,Viewport,"Hides or restores all interface panels around the viewport, maximising drawing space on smaller screens or for presentations.",Ctrl+Space,,intermediate,ui|display,visualise,view|layout,navigate,,,https://www.autodesk.com/shortcuts/maya
,Cycle Background Colour,Maya,Viewport,Steps the viewport background through dark-to-light greys and the gradient. Switch to a lighter ground when evaluating silhouettes or capturing screenshots.,Alt+B,,beginner,display|viewport,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Snap to Grid,Maya,Viewport,Hold while dragging to snap the manipulator to grid intersections. Invaluable for laying out geometry on a regular planning module.,X,,beginner,snapping|precision,transform,mesh|curve|point,move,,,https://www.autodesk.com/shortcuts/maya
,Snap to Curve,Maya,Viewport,Hold while dragging to constrain movement along a curve or edge. Use it to slide setting-out points along a spline or building edge.,C,,beginner,snapping|precision,transform,curve|point,move,,,https://www.autodesk.com/shortcuts/maya
,Snap to Point,Maya,Viewport,Hold while dragging to snap exactly onto vertices or CVs. The quickest way to join geometry corner-to-corner with precision.,V,,beginner,snapping|precision,transform,mesh|curve|point,move,,,https://www.autodesk.com/shortcuts/maya
,Repeat Last Command,Maya,Edit,"Runs the previous command again, such as repeating an extrude or duplicate on a new selection. Saves menu trips during repetitive modelling passes.",G,,beginner,workflow|efficiency,edit,mesh|curve|surface,copy,,,https://www.autodesk.com/shortcuts/maya
,Marking Menus,Maya,Viewport,"Holding the right mouse button over an object opens a context marking menu for component modes and common operations. Fast, gesture-driven access to vertices, edges, faces and UVs.",RMB (hold),,beginner,menus|selection|workflow,edit,mesh|curve|surface,navigate,,,https://www.autodesk.com/shortcuts/maya
,Increase Manipulator Size,Maya,Viewport,"Enlarges the transform manipulator handles for easier grabbing, particularly on high-resolution displays.",+,,beginner,ui|manipulator,edit,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Decrease Manipulator Size,Maya,Viewport,Shrinks the transform manipulator handles when they obscure small geometry you are trying to edit.,-,,beginner,ui|manipulator,edit,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Toggle Grid,Maya,Display,"Shows or hides the ground-plane grid from the Display menu. Turn it off for clean presentation captures, on for spatial reference and snapping.",,,beginner,display|grid|reference,visualise,view,navigate,,,https://www.autodesk.com/shortcuts/maya
,Poly Count HUD,Maya,Display,"Enables a heads-up display showing vertex, edge, face and triangle counts for the scene and selection. Track it to keep visualisation models within budget.",,,intermediate,display|statistics|optimisation,analyse,mesh|view,measure,,,https://www.autodesk.com/shortcuts/maya
,Toggle Object and Component Mode,Maya,Select,Switches between selecting whole objects and their components such as vertices or faces. The pivot point of the entire polygon editing workflow.,F8,,beginner,selection|components,edit,mesh|curve|surface,navigate,,,https://www.autodesk.com/shortcuts/maya
,Vertex Selection Mode,Maya,Select,Puts the selection into vertex components so you can pull individual points of a mesh or lattice. Use for fine surface adjustment.,F9,,beginner,selection|components|polygon modelling,edit,mesh|point,move,,,https://www.autodesk.com/shortcuts/maya
,Edge Selection Mode,Maya,Select,"Switches selection to edges, ready for bevelling, loop selection or edge sliding. Double-click an edge to grab the whole loop.",F10,,beginner,selection|components|polygon modelling,edit,mesh,navigate,,,https://www.autodesk.com/shortcuts/maya
,Face Selection Mode,Maya,Select,"Switches selection to faces for extruding, deleting or assigning materials to specific regions of a mesh.",F11,,beginner,selection|components|polygon modelling,edit,mesh,navigate,,,https://www.autodesk.com/shortcuts/maya
,UV Selection Mode,Maya,Select,"Switches selection to UV components, mainly for texture-coordinate work in the UV Editor.",F12,,intermediate,selection|components|uv mapping,edit,mesh,navigate,,,https://www.autodesk.com/shortcuts/maya
,Grow Selection,Maya,Select,Expands the current component selection outwards by one ring of neighbours. Repeat to flood-fill a region quickly.,>,,intermediate,selection|components,edit,mesh,navigate,,,https://www.autodesk.com/shortcuts/maya
,Shrink Selection,Maya,Select,"Contracts the component selection by one ring, trimming the border of a grown selection back down.",<,,intermediate,selection|components,edit,mesh,navigate,,,https://www.autodesk.com/shortcuts/maya
,Soft Selection,Maya,Select,"Toggles soft selection, where edits fall off smoothly across neighbouring components; hold the key and drag to resize the falloff radius. Ideal for organic terrain or fabric-like adjustments.",B,,intermediate,selection|falloff|sculpting,edit|transform,mesh|point,move|smooth,,,https://www.autodesk.com/shortcuts/maya
,Select All,Maya,Edit,"Selects every visible, selectable object in the scene. Useful before scene-wide operations such as grouping or export.",,,beginner,selection,edit|organise,mesh|curve|surface,navigate,,,https://www.autodesk.com/shortcuts/maya
,Deselect All,Maya,Edit,Clears the current selection entirely. Click empty space or use the menu when precision matters near dense geometry.,,,beginner,selection,edit,mesh|curve|surface,navigate,,,https://www.autodesk.com/shortcuts/maya
,Invert Selection,Maya,Edit,Swaps selected and unselected objects or components. Handy for hiding everything except your working set or deleting the leftovers of a split.,,,intermediate,selection,edit,mesh|curve|surface,navigate,,,https://www.autodesk.com/shortcuts/maya
,Select Hierarchy,Maya,Edit,Extends the selection to include all children of the chosen nodes. Use before moving or exporting assembled groups so nothing is left behind.,,,intermediate,selection|hierarchy,organise|edit,mesh|curve|surface,navigate,,,https://www.autodesk.com/shortcuts/maya
