id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Wall,Revit,Architecture,"Draws a wall along a sketched path or picked line, hosting doors, windows and hosted fittings as you place them. The workhorse of any Revit model — reach for it whenever you are blocking out enclosure or partitions, then swap the type later as the design firms up.",WA,,beginner,modelling|architecture|host,create,solid,,,,https://www.autodesk.com/shortcuts/revit
,Door,Revit,Architecture,"Places a door family into a host wall, cutting its opening automatically and flipping swing direction with the spacebar. Use it early to test circulation, since doors schedule and tag themselves as the model grows.",DR,,beginner,modelling|architecture|hosted,create,solid,cut,,,https://www.autodesk.com/shortcuts/revit
,Window,Revit,Architecture,"Inserts a window family into a wall, cutting the opening and inheriting sill height from the type. Handy for rapid facade studies because instances can be retyped in bulk from the Properties palette.",WN,,beginner,modelling|architecture|hosted,create,solid,cut,,,https://www.autodesk.com/shortcuts/revit
,Column (Architectural),Revit,Architecture,"Places a non-structural column used for boxing out casings, decorative piers or coordination placeholders. It merges with walls of the same material, unlike a structural column which carries analytical data.",,,beginner,modelling|architecture,create,solid,,,,https://www.autodesk.com/shortcuts/revit
,Structural Column,Revit,Structure,"Places a load-bearing column, usually snapped to grid intersections, with an analytical stick for engineering exchange. Use At Grids placement to populate a whole frame in one action.",CL,,beginner,modelling|structure,create,solid,,,,https://www.autodesk.com/shortcuts/revit
,Beam,Revit,Structure,"Draws a structural framing member between supports, picking up level and work plane automatically. Reach for it when coordinating with engineers or roughing out an exposed structure that the architecture must wrap around.",BM,,intermediate,modelling|structure|framing,create,solid,,,,https://www.autodesk.com/shortcuts/revit
,Brace,Revit,Structure,"Adds a diagonal framing member between two points, typically drawn in elevation or section between levels. Used for lateral systems and for modelling visible cross-bracing in exposed frames.",BR,,intermediate,modelling|structure|framing,create,solid,,,,https://www.autodesk.com/shortcuts/revit
,Isolated Foundation,Revit,Structure,Places a pad or pile-cap foundation family beneath columns. Useful for early coordination of footing sizes against basement walls and drainage.,,,intermediate,modelling|structure|foundation,create,solid,,,,https://www.autodesk.com/shortcuts/revit
,Floor,Revit,Architecture,"Creates a floor slab from a closed sketched boundary on the current level, with build-up defined by the floor type. Edit the sketch at any time to chase openings, balconies or slab steps as plans change.",,,beginner,modelling|architecture|sketch-based,create,solid,,,,https://www.autodesk.com/shortcuts/revit
,Ceiling,Revit,Architecture,"Generates a ceiling either automatically inside bounding walls or from a sketch, at a set offset from the level. Model ceilings before lighting layouts so hosted fittings have something to land on in reflected ceiling plans.",,,beginner,modelling|architecture,create,solid,,,,https://www.autodesk.com/shortcuts/revit
,Roof by Footprint,Revit,Architecture,"Builds a roof from a plan sketch, with slope arrows or per-edge slope settings generating hips and valleys automatically. The quickest route to conventional pitched or flat roofs that follow the building outline.",,,intermediate,modelling|architecture|roof,create,solid,,,,https://www.autodesk.com/shortcuts/revit
,Roof by Extrusion,Revit,Architecture,"Creates a roof by extruding a profile sketched in elevation or section, ideal for barrel vaults, sawtooth and other section-driven shapes a footprint roof cannot describe. Walls can then attach to its underside.",,,intermediate,modelling|architecture|roof,create,solid,,,,https://www.autodesk.com/shortcuts/revit
,Stair,Revit,Architecture,"Assembles a stair from runs, landings and supports, checking riser counts against the level-to-level height as you go. Use component-based runs for standard flights and sketch editing for irregular geometry.",,,intermediate,modelling|architecture|circulation,create,solid,,,,https://www.autodesk.com/shortcuts/revit
