id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Absolute Grid Snap,Blender,3D Viewport — Header — Snapping Dropdown — Absolute Grid Snap,"With grid snapping active, this option snaps to fixed grid positions rather than moving in grid-sized steps from the start point. Turn it on for CAD-like behaviour where everything lands exactly on the planning grid.",,,intermediate,snap|grid|precision,transform|organise,mesh|view,move,,,https://docs.blender.org/manual/en/latest/
,Add Bézier Curve,Blender,3D Viewport — Object Mode — Add — Curve — Bézier,"Creates a Bézier curve object, edited through control points and handles. Curves are ideal for road centrelines, handrail paths, swept profiles and any geometry defined by a line rather than a surface.",Shift+A,,beginner,curve|bezier|path,create,curve,,,,https://docs.blender.org/manual/en/latest/
,Add Camera,Blender,3D Viewport — Object Mode — Add — Camera,"Adds a camera object to the scene. Keep several cameras for fixed viewpoints — key exterior views, interior vignettes — and switch the active one per shot.",Shift+A,,beginner,camera|viewpoint|render,create|visualise,view,,,,https://docs.blender.org/manual/en/latest/
,Add Empty,Blender,3D Viewport — Object Mode — Add — Empty,"Creates a non-rendering null object useful as a pivot, mirror centre, array offset target or group handle. Architects often use empties to drive Array and Mirror modifiers for repetitive structure.",Shift+A,,intermediate,empty|null|rig,create|organise,point,,,,https://docs.blender.org/manual/en/latest/
,Add Grease Pencil Object,Blender,3D Viewport — Object Mode — Add — Grease Pencil,"Creates a Grease Pencil object for drawing 2D strokes that live in 3D space. Architects use it to sketch design options over a model, red-line reviews, and add hand-drawn linework to renders.",Shift+A,,beginner,grease pencil|sketch|2d,create|document,annotation|curve,annotate,,,https://docs.blender.org/manual/en/latest/
,Add Light,Blender,3D Viewport — Object Mode — Add — Light,"Adds a Point, Sun, Spot or Area light. Sun gives parallel daylight for exteriors; Area lights are the workhorses of interior renders, standing in for windows and fittings.",Shift+A,,beginner,light|daylight|interior,create|visualise,point|view,,,,https://docs.blender.org/manual/en/latest/
,Add Modifier,Blender,Properties — Modifier Properties — Add Modifier,"Adds a non-destructive modifier to the active object from the generate, deform and physics categories. Modifiers stack top-to-bottom and can be reordered, disabled or applied — the heart of parametric-style modelling in Blender.",,,beginner,modifier|non-destructive|stack,create|edit,mesh|curve,,,,https://docs.blender.org/manual/en/latest/
,Add Node,Blender,Shader Editor — Add,"Opens the add menu in any node editor — Shader, Geometry Nodes or Compositor — with a search field at the top. Type-search is usually faster than browsing the categories.",Shift+A,,beginner,nodes|add|shader,create,mesh,,,,https://docs.blender.org/manual/en/latest/
,Add Object,Blender,3D Viewport — Object Mode — Add,"Opens the Add menu to create meshes, curves, empties, lights, cameras and more at the 3D cursor. Move the cursor first with Shift+RMB to place new geometry exactly where you want it.",Shift+A,,beginner,add|create|primitive,create,mesh|curve|view,,,,https://docs.blender.org/manual/en/latest/
,Adjust Last Operation,Blender,Topbar — Edit — Adjust Last Operation,"Reopens the floating panel of options for the operation you just ran, letting you tweak values such as bevel width or number of cuts after the fact. Note it disappears as soon as you do something else.",F9,,beginner,interface|operator|options,edit,view,,,,https://docs.blender.org/manual/en/latest/
,Adjust Voxel Size,Blender,3D Viewport — Sculpt Mode — Header — Remesh,"Interactively sets the voxel size used by the next remesh, shown as a grid overlay. Smaller voxels keep more detail but cost polygons — tune it before each Voxel Remesh.",Shift+R,,intermediate,sculpt|remesh|resolution,edit,mesh,,,,https://docs.blender.org/manual/en/latest/
