id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,New Composition,After Effects,Composition > New Composition,"Creates a new composition with chosen resolution, frame rate and duration — the canvas every animation lives in. Start an archviz film by setting comps to your delivery format, typically 3840x2160 at 25 fps.",Ctrl+N,,beginner,composition|new|setup,create,layout,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Composition Settings,After Effects,Composition > Composition Settings,"Edits the current comp's size, duration, frame rate and background colour after creation. Revisit it when a client changes delivery specs mid-project.",Ctrl+K,,beginner,composition|settings|frame rate,edit|organise,layout,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Precompose,After Effects,Layer > Pre-compose,"Wraps the selected layers into a nested composition so they can be treated, animated and effected as one unit. Essential housekeeping — precompose each animated diagram or title block before the timeline becomes unmanageable.",Ctrl+Shift+C,,intermediate,precompose|nest|organise,organise,layer|layout,join,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Import File,After Effects,File > Import > File,"Brings footage, image sequences, PSDs and audio into the Project panel. Import rendered archviz sequences as image sequences so dropped frames can be re-rendered individually.",Ctrl+I,,beginner,import|footage|project,create|organise,layout,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Add Footage to Comp,After Effects,File > Add Footage to Comp,Drops the selected Project panel items into the active composition as new layers. Quicker than dragging when building comps from many rendered passes.,Ctrl+/,,beginner,footage|layer|add,create,layer,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Increment and Save,After Effects,File > Increment and Save,"Saves the project under an automatically numbered new filename, keeping the previous version intact. Use it before risky restructuring — version discipline saves animation projects.",Ctrl+Alt+Shift+S,,beginner,save|version|project,document|organise,layout,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Save Frame As,After Effects,Composition > Save Frame As > File,Sends the current frame to the render queue as a still image. Handy for pulling high-quality stills of an animation for portfolio boards or client emails.,Ctrl+Alt+S,,beginner,still|frame|export,document,view|layout,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,New Solid,After Effects,Layer > New > Solid,"Creates a flat colour layer used as a background, a matte or a host for generated effects like Fractal Noise. Most effect-driven elements in a motion piece start life as a solid.",Ctrl+Y,,beginner,solid|layer|background,create,layer,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Solid Settings,After Effects,Layer > Solid Settings,Changes the colour and dimensions of an existing solid layer. Use Make Comp Size here when a background solid needs to fill the frame exactly.,Ctrl+Shift+Y,,beginner,solid|settings|colour,edit,layer,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,New Adjustment Layer,After Effects,Layer > New > Adjustment Layer,Creates an invisible layer whose effects apply to everything below it. The standard way to grade a whole archviz shot with Lumetri or add global glow without touching individual layers.,Ctrl+Alt+Y,,intermediate,adjustment layer|grade|effects,create|visualise,layer,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,New Null Object,After Effects,Layer > New > Null Object,"Creates an invisible control layer that other layers can be parented to. Animate one null to move a whole cluster of labels, leader lines and highlights together.",Ctrl+Alt+Shift+Y,,intermediate,null|control|parenting,create|organise,layer|point,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,New Text Layer,After Effects,Layer > New > Text,"Creates an empty text layer ready for typing, with full animator controls for per-character animation. The starting point for titles, statistics call-outs and room labels in an archviz film.",Ctrl+Alt+Shift+T,,beginner,text|layer|titles,create,layer|annotation,annotate,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,New Shape Layer,After Effects,Layer > New > Shape Layer,"Creates a vector layer built from paths, fills and strokes, with procedural operators like Trim Paths and Repeater. The engine behind animated diagrams, growing site outlines and self-drawing linework.",,,intermediate,shape|vector|diagram,create,layer|curve,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Pen Tool,After Effects,Toolbar,Draws Bézier paths that become masks on footage layers or paths on shape layers. Use it to trace a building outline for a reveal or to mask a sky for replacement.,G,,intermediate,pen|mask|path|tool,create|edit,curve|layer,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Shape and Mask Tools,After Effects,Toolbar,"Cycles through the rectangle, rounded rectangle, ellipse, polygon and star tools for drawing shapes or masks. Which you get depends on whether a footage or shape layer is selected.",Q,,beginner,shape|mask|tool|rectangle,create,curve|layer,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Duplicate Layer,After Effects,Edit > Duplicate,"Copies the selected layer in place with all its keyframes, effects and masks. The everyday way to build variations — duplicate a label animation and just retype the text.",Ctrl+D,,beginner,duplicate|layer|copy,create|edit,layer,copy,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Split Layer,After Effects,Edit > Split Layer,Cuts the selected layer at the current time into two independent layers. Use it to change treatment halfway through a shot or remove a bad section of footage.,Ctrl+Shift+D,,beginner,split|cut|layer|edit,edit,layer,cut|split,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Trim Layer In/Out,After Effects,Alt+[ or Alt+] at the current-time indicator,Trims the selected layer's in or out point to the current time without moving the footage. The fast way to tidy layer bars so the timeline reads like a clean storyboard.,Alt+[ / Alt+],,beginner,trim|in point|out point|timeline,edit,layer,cut,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Move Layer to Current Time,After Effects,[ or ] with a layer selected,Slides the selected layer so its in point ( [ ) or out point ( ] ) lands at the current-time indicator. Useful for choreographing staggered entrances of labels and diagram elements.,[ / ],,beginner,layer|timing|move|timeline,edit|transform,layer,move,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Sequence Layers,After Effects,Animation > Keyframe Assistant > Sequence Layers,"Arranges the selected layers end to end in time, optionally with overlapping crossfades. Perfect for turning a folder of still renders into a quick animatic slideshow.",,,intermediate,sequence|stagger|slideshow|keyframe assistant,organise|edit,layer,array,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Time-Reverse Layer,After Effects,Layer > Time > Time-Reverse Layer,"Plays the selected layer backwards. A classic trick for build-up animations — animate a structure exploding apart, then reverse it so it assembles.",Ctrl+Alt+R,,intermediate,reverse|time|playback,transform|edit,layer,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Lock Layer,After Effects,Timeline lock switch,Locks the selected layers against selection and edits. Lock finished background plates so late tweaks cannot disturb them.,Ctrl+L,,beginner,lock|layer|protect,organise,layer,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Solo Layer,After Effects,Timeline solo switch,"Displays only the soloed layers in the viewer, hiding everything else. Invaluable for isolating one element of a dense composite while adjusting it.",,,beginner,solo|isolate|layer,visualise|analyse,layer|view,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Shy Layers,After Effects,Timeline shy switches and comp Hide Shy toggle,Marks layers as shy and then hides them from the timeline list without removing them from the render. Use it to collapse dozens of finished background layers and keep only active work visible.,,,intermediate,shy|timeline|tidy|organise,organise,layer,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Fit Layer to Comp,After Effects,Layer > Transform > Fit to Comp,Scales the selected layer to match the composition frame exactly. Quick framing for full-screen background plates; beware it will stretch mismatched aspect ratios.,Ctrl+Alt+F,,beginner,fit|scale|comp,transform,layer,scale,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Show Position,After Effects,Press P with layers selected,"Reveals just the Position property of selected layers in the timeline. The property shortcuts (P, S, R, T, A) keep the timeline lean while animating.",P,,beginner,position|property|transform,transform|edit,layer|point,move,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Show Scale,After Effects,Press S with layers selected,Reveals the Scale property of selected layers. Combine with held Shift to add further properties to the same view.,S,,beginner,scale|property|transform,transform|edit,layer,scale,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Show Rotation,After Effects,Press R with layers selected,"Reveals the Rotation property, plus orientation values on 3D layers. Reach for it when animating turntable-style spins of a model or compass needles on diagrams.",R,,beginner,rotation|property|transform,transform|edit,layer,rotate,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Show Opacity,After Effects,Press T with layers selected,Reveals the Opacity property of selected layers. Opacity keyframes are the humble backbone of most fade-based archviz transitions.,T,,beginner,opacity|property|fade,transform|edit,layer,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Show Anchor Point,After Effects,Press A with layers selected,"Reveals the Anchor Point property, the pivot around which scale and rotation act. Move the anchor to a building's base before scaling it up so it grows from the ground.",A,,intermediate,anchor point|pivot|property,transform|edit,layer|point,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Pan Behind Tool,After Effects,Toolbar,Drags the anchor point on the canvas without moving the layer's rendered position. The clean way to re-pivot a layer before animating rotation or growth.,Y,,intermediate,anchor|pivot|tool,edit|transform,layer|point,move,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Show Animated Properties,After Effects,Press U with layers selected,Reveals every property that carries keyframes on the selected layers. Press it twice (UU) to also show any modified properties and expressions — the fastest way to read how someone else's comp works.,U,,beginner,keyframes|reveal|uber key,analyse|edit,layer|point,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Show Effects,After Effects,Press E with layers selected,Reveals the effects applied to selected layers in the timeline; EE reveals expressions only. Handy for tweaking effect keyframes without opening the Effect Controls panel.,E,,beginner,effects|property|reveal,edit|analyse,layer,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Add Keyframe at Current Time,After Effects,Alt+Shift+property shortcut (e.g. Alt+Shift+P),"Adds a keyframe for a transform property at the current time without touching the mouse, enabling the stopwatch if needed. Part of a fast keyboard-only animation workflow.",Alt+Shift+P,,intermediate,keyframe|add|shortcut,create|transform,point|layer,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Easy Ease,After Effects,Animation > Keyframe Assistant > Easy Ease,Smooths the selected keyframes so motion accelerates and decelerates naturally instead of starting and stopping abruptly. The single biggest instant upgrade to any camera move or element animation.,F9,,beginner,ease|keyframe|smooth|motion,edit|transform,point,smooth,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Easy Ease In / Out,After Effects,Animation > Keyframe Assistant,Applies easing to only the incoming (Shift+F9) or outgoing (Ctrl+Shift+F9) side of the selected keyframes. Use them to make an element ease to a stop but leave sharply.,Shift+F9 / Ctrl+Shift+F9,,intermediate,ease|keyframe|in|out,edit|transform,point,smooth,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Graph Editor,After Effects,Timeline Graph Editor button,"Switches the timeline to value and speed curves you can sculpt directly, giving precise control over acceleration. Where good camera moves become great — flatten the speed curve tails for silky drone-style glides.",Shift+F3,,advanced,graph editor|curves|speed|easing,edit|analyse,point|view,smooth,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Keyframe Velocity,After Effects,Animation > Keyframe Velocity,Sets numeric incoming and outgoing speed and influence for the selected keyframe. Useful when several shots must share identical easing values for a consistent house style.,Ctrl+Shift+K,,advanced,keyframe|velocity|influence,edit,point,smooth,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Keyframe Interpolation,After Effects,Animation > Keyframe Interpolation,"Changes selected keyframes between linear, Bézier and hold interpolation, spatially and temporally. Fix curved position paths that should travel straight by setting spatial interpolation to linear.",Ctrl+Alt+K,,advanced,interpolation|keyframe|bezier|linear,edit,point,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
,Toggle Hold Keyframe,After Effects,Animation > Toggle Hold Keyframe,"Freezes a keyframe's value until the next keyframe, with no interpolation between. Use holds for stepped diagrams — phasing plans that snap from stage to stage.",Ctrl+Alt+H,,intermediate,hold|keyframe|stepped,edit,point,,,,https://helpx.adobe.com/uk/after-effects/using/keyboard-shortcuts-reference.html
