id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Selection Tool,Illustrator,Toolbar,"Selects, moves and scales whole objects and groups with a bounding box. The default resting tool when assembling plan graphics and diagram elements on an artboard.",V,,beginner,tool|selection,edit|transform,curve|layer,move|scale|rotate,,,https://helpx.adobe.com/uk/illustrator/using/default-keyboard-shortcuts.html
,Direct Selection Tool,Illustrator,Toolbar,"Selects individual anchor points, handles and path segments inside objects and groups. Essential for tweaking a traced site boundary or nudging one corner of a plan outline.",A,,beginner,tool|selection|anchors,edit,curve|point,move,,,https://helpx.adobe.com/uk/illustrator/using/default-keyboard-shortcuts.html
,Group Selection Tool,Illustrator,Toolbar,"Selects one object within a group, then progressively larger parent groups with further clicks. Useful for picking a single tree symbol out of a heavily grouped landscape plan.",,,intermediate,tool|selection|groups,edit,curve|layer,move,,,https://helpx.adobe.com/uk/illustrator/using/default-keyboard-shortcuts.html
,Magic Wand Tool,Illustrator,Toolbar,Selects all objects sharing an attribute such as fill colour or stroke weight in one click. Brilliant for grabbing every wall poche or every red annotation across a busy drawing at once.,Y,,intermediate,tool|selection|attributes,edit|organise,curve,,,,https://helpx.adobe.com/uk/illustrator/using/default-keyboard-shortcuts.html
,Lasso Tool,Illustrator,Toolbar,Selects objects and anchor points by dragging a freehand loop around them. Quick for gathering a scatter of points or small elements that a rectangular drag would miss.,Q,,beginner,tool|selection|freehand,edit,curve|point,,,,https://helpx.adobe.com/uk/illustrator/using/default-keyboard-shortcuts.html
,Pen Tool,Illustrator,Toolbar,"Draws precise paths from anchor points and bezier handles. The fundamental Illustrator skill for tracing site plans, drawing bespoke symbols and constructing clean diagram geometry.",P,,advanced,tool|path|bezier,create,curve|point,,,,https://helpx.adobe.com/uk/illustrator/using/default-keyboard-shortcuts.html
,Add Anchor Point Tool,Illustrator,Toolbar,Adds an anchor point wherever you click on an existing path. Used when a straight boundary needs a new kink or a curve needs an extra control point.,+,,intermediate,tool|path|anchors,edit,curve|point,,,,https://helpx.adobe.com/uk/illustrator/using/default-keyboard-shortcuts.html
,Delete Anchor Point Tool,Illustrator,Toolbar,"Removes the anchor point you click, letting the path re-flow through its neighbours. Handy for cleaning up over-noded paths produced by Image Trace or CAD imports.",-,,intermediate,tool|path|anchors,edit,curve|point,,,,https://helpx.adobe.com/uk/illustrator/using/default-keyboard-shortcuts.html
,Anchor Point Tool,Illustrator,Toolbar,"Converts anchors between sharp corners and smooth curves, and adjusts handles independently. The tool for turning a boxy traced outline into flowing landscape curves, or vice versa.",Shift+C,,advanced,tool|path|corners,edit,curve|point,smooth,,,https://helpx.adobe.com/uk/illustrator/using/default-keyboard-shortcuts.html
,Curvature Tool,Illustrator,Toolbar,"Draws smooth curves by simply placing points, with corners on a double-click. A friendlier route than the Pen for sweeping masterplan paths, roads and organic diagram lines.",Shift+~,,beginner,tool|path|curves,create,curve|point,smooth,,,https://helpx.adobe.com/uk/illustrator/using/default-keyboard-shortcuts.html
