id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Fly Navigation (WASD),Unreal Engine,Level Editor Viewport,"Hold the right mouse button and use WASD (plus Q and E for down and up) to fly through the level like a game camera. It is the fundamental way to move through an archviz scene, and scrolling the wheel while holding RMB changes flight speed on the fly.",RMB + W/A/S/D,,beginner,navigation|viewport|wasd|fly|camera,visualise,view,navigate,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Orbit Navigation,Unreal Engine,Level Editor Viewport,"Holding Alt with the left mouse button orbits the camera around its pivot, while Alt with the right button dollies in and out and Alt with the middle button pans. This Maya-style scheme suits object inspection, such as circling a facade module or a piece of joinery.",Alt+LMB drag,,beginner,navigation|orbit|maya style|inspect,visualise,view,navigate|rotate,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Focus Selected,Unreal Engine,Level Editor Viewport,"Frames the selected actor in the viewport and re-centres the orbit pivot on it. Pressing F before orbiting is the habit that makes navigation predictable in large architectural levels, where the pivot otherwise drifts far from your subject.",F,,beginner,navigation|focus|frame|selection,visualise,view,navigate,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Camera Bookmarks,Unreal Engine,Level Editor Viewport,"Stores up to ten viewport camera positions per level, set with Ctrl plus a number and recalled with the number alone. Bookmarking key views such as the entrance approach, atrium and roof terrace makes design reviews and repeat screenshots dramatically faster.","Ctrl+0–9 set, 0–9 recall",,beginner,navigation|bookmarks|camera|viewpoints,visualise|organise,view,navigate,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Game View,Unreal Engine,Level Editor Viewport,"Toggles off all editor-only visuals such as icons, gizmos and volume outlines, showing the scene exactly as a player or client would see it. Flick it on whenever you judge composition or lighting, because sprite clutter badly distorts a reading of the image.",G,,beginner,viewport|game view|clean view|presentation,visualise,view,,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Immersive Mode,Unreal Engine,Level Editor Viewport,"Expands the active viewport to fill the entire window, hiding panels and toolbars. Combined with Game View it turns the editor into a clean full-screen presentation surface for live walkthroughs with clients.",F11,,beginner,viewport|fullscreen|immersive|presentation,visualise,view,,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Camera Speed,Unreal Engine,Level Editor Viewport,"Adjusts how fast the fly camera moves, via the speed control in the viewport toolbar or by scrolling while navigating. Matching speed to context, slow for interiors and fast for masterplans, is a small habit that saves constant frustration.",Scroll wheel while holding RMB,,beginner,navigation|speed|camera|viewport,visualise,view,navigate,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Pilot Actor,Unreal Engine,Level Editor Viewport,"Locks the viewport to a selected camera or light so that flying the viewport moves that actor directly. Piloting a Cine Camera is the natural way to compose shots, and piloting a directional light lets you drag the sun by eye until shadows fall where you want them.",Ctrl+Shift+P,,intermediate,viewport|pilot|camera|light|compose,visualise|edit,view,navigate|move,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Viewport View Modes,Unreal Engine,Level Editor Viewport,"Switches the viewport between Lit, Unlit, Wireframe and diagnostic modes such as Detail Lighting. Unlit is invaluable for checking texture work without lighting influence, while wireframe exposes the density of imported CAD geometry.","Alt+2 wireframe, Alt+3 unlit, Alt+4 lit",,beginner,viewport|view modes|wireframe|unlit|lit,analyse|visualise,view,,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Orthographic Views,Unreal Engine,Level Editor Viewport,"Switches the viewport between perspective and true orthographic projections such as top, front and side. Architects find the top view especially useful for laying out furniture and site elements with drawing-like precision.","Alt+G perspective, Alt+H front, Alt+J top, Alt+K left",,beginner,viewport|orthographic|top view|plan|projection,visualise|analyse,view,navigate,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Select Tool,Unreal Engine,Level Editor Viewport,"Switches to plain selection with no transform gizmo active, reducing the risk of accidentally dragging actors while reviewing a scene. Marquee-drag selects multiple actors, and Ctrl-click adds or removes from the selection.",Q,,beginner,select|tool|gizmo,edit,mesh,,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Move Tool,Unreal Engine,Level Editor Viewport,"Activates the translation gizmo for dragging actors along axes or planes, with exact values editable in the Details panel. Everyday archviz use ranges from placing furniture to shifting whole context blocks into alignment with a site survey.",W,,beginner,transform|move|translate|gizmo,transform,mesh,move,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Rotate Tool,Unreal Engine,Level Editor Viewport,"Activates the rotation gizmo for turning actors about any axis, honouring the current angle snap increment. Rotating entourage such as chairs, cars and trees away from identical orientations is a quick realism win in populated scenes.",E,,beginner,transform|rotate|gizmo|angle,transform,mesh,rotate,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Scale Tool,Unreal Engine,Level Editor Viewport,"Activates the scale gizmo for uniform or per-axis resizing of actors. Slight random scaling across repeated vegetation and props breaks up the cloned look, though architectural elements should generally stay at true size.",R,,beginner,transform|scale|gizmo|resize,transform,mesh,scale,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,World / Local Transform Space,Unreal Engine,Level Editor Viewport,"Toggles the gizmo between world axes and the actor's own local axes via the globe icon in the viewport toolbar. Local space is essential when sliding an object along its own length, for example moving a rotated partition wall along its face rather than along world X.",,,intermediate,transform|world space|local space|gizmo,transform,mesh,move|rotate,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Grid Snapping,Unreal Engine,Level Editor Viewport,"Constrains translation to fixed increments set in the viewport toolbar, keeping placement tidy and modular. Matching the snap value to your project module, say 100 mm for interiors, gives CAD-like discipline when assembling repeated architectural components.",,,beginner,snapping|grid|precision|increment,transform|organise,mesh,move,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
,Rotation Snapping,Unreal Engine,Level Editor Viewport,"Limits rotation to fixed angular steps such as 5, 10 or 90 degrees. Keep it on for orthogonal building work, and drop to small increments or off entirely when naturalistically scattering planting and loose props.",,,beginner,snapping|rotation|angle|increment,transform,mesh,rotate,,,https://dev.epicgames.com/documentation/en-us/unreal-engine
