id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Number Slider,Dynamo,Input,"An interactive slider that outputs a number within a set range and step. Wire it into dimensions, counts or rotation angles so you can drag through design variations and watch the model respond live.",,Native,beginner,input|interactive,create|edit,,,,,https://dictionary.dynamobim.com/
,Integer Slider,Dynamo,Input,"A slider constrained to whole numbers, ideal for counts — panels in a facade, treads in a stair, items in a range. Use it instead of Number Slider wherever fractional values would break the logic downstream.",,Native,beginner,input|interactive,create|edit,,,,,https://dictionary.dynamobim.com/
,Number,Dynamo,Input,A simple box holding a fixed numeric value. Use it for constants you want visible and labelled on the canvas rather than buried inside a code block.,,Native,beginner,input,create,,,,,https://dictionary.dynamobim.com/
,Boolean,Dynamo,Input,"A true/false toggle used to switch logic branches, flip conditions or gate parts of a graph. Pair it with If to give a script simple on/off behaviour a non-programmer can operate.",,Native,beginner,input|logic,create|edit,,,,,https://dictionary.dynamobim.com/
,String,Dynamo,Input,"A text input box outputting whatever is typed into it. The usual source for parameter names, prefixes and search terms that the rest of the graph consumes.",,Native,beginner,input|text,create,,,,,https://dictionary.dynamobim.com/
,Code Block,Dynamo,Input,"A freeform node where DesignScript is typed directly — numbers, strings, ranges like 0..10..2, functions and multi-line expressions. Experienced users compress whole clusters of nodes into one tidy code block; double-click empty canvas to create one.",,Native,intermediate,input|designscript|scripting,create|edit,,,,,https://dictionary.dynamobim.com/
,File Path,Dynamo,Input,"Opens a file browser and outputs the chosen file's path as a string. The standard front door for graphs that read Excel, images or text files.",,Native,beginner,input|files,organise,,,,,https://dictionary.dynamobim.com/
,Directory Path,Dynamo,Input,"Outputs the path of a chosen folder, for graphs that batch through many files or need somewhere to write exports. Combine with file-listing logic to process a whole directory of drawings or spreadsheets.",,Native,beginner,input|files,organise,,,,,https://dictionary.dynamobim.com/
,File.FromPath,Dynamo,Input,Converts a path string into a file object that reading nodes can consume. A small but necessary adaptor between File Path and nodes like File.ReadText.,,Native,beginner,files,organise,,,,,https://dictionary.dynamobim.com/
,Number Range,Dynamo,Input,"Generates a list of numbers from a start to an end value at a given step — the graph equivalent of 0..100..5. The seed of most repetitive geometry: point grids, panel setout, level elevations.",,Native,beginner,lists|sequences,create,,array,,,https://dictionary.dynamobim.com/
,Number Sequence,Dynamo,Input,"Generates a list by count rather than end value — start, amount and step. Use it when you know how many items you need, such as one value per panel or per level.",,Native,beginner,lists|sequences,create,,array,,,https://dictionary.dynamobim.com/
,Object.IsNull,Dynamo,Input,"Returns true for null items in a list, which is the first step in cleaning data that came back patchy from Revit or Excel. Feed the result into List.FilterByBoolMask to strip the nulls out.",,Native,intermediate,data-cleaning|logic,analyse|edit,,,,,https://dictionary.dynamobim.com/
,Watch,Dynamo,Display,"Displays the data flowing through a wire — values, list structure, nesting depth. The single most important debugging habit in Dynamo: watch early, watch often, and list-structure surprises get caught before they multiply.",,Native,beginner,debugging|inspection,analyse,,,,,https://dictionary.dynamobim.com/
,Watch 3D,Dynamo,Display,"A miniature 3D viewport showing only the geometry wired into it, independent of the main background preview. Useful for isolating one branch of geometry in a busy graph.",,Native,beginner,debugging|preview|3d,visualise|analyse,,,,,https://dictionary.dynamobim.com/
,Watch Image,Dynamo,Display,"Previews an image object on the canvas, for graphs that read bitmaps — heightmap-driven facades, image-sampled colour studies. Confirms the right picture is loaded before pixel values drive anything.",,Native,intermediate,debugging|images,visualise,,,,,https://dictionary.dynamobim.com/
,Color.ByARGB,Dynamo,Display,"Builds a colour from alpha, red, green and blue values. Feed it into display or override nodes to colour-code geometry by analysis results — area, deviation, parameter values.",,Native,intermediate,colour|visualisation,visualise,,,,,https://dictionary.dynamobim.com/
,Display.ByGeometryColor,Dynamo,Display,"Draws geometry in the preview tinted with a supplied colour, without touching Revit. The standard way to build in-canvas heat maps — remap a value to a colour range and see the gradient across your geometry.",,Native,intermediate,colour|visualisation|analysis,visualise|analyse,,,,,https://dictionary.dynamobim.com/
,Python Script,Dynamo,Script,"Embeds a Python node with access to the full Revit API, for logic that stock nodes cannot express — transactions, element filters, edge cases. The escape hatch when visual programming runs out of road; keep inputs and outputs clearly named.",,Native,advanced,scripting|python|revit-api,create|edit|analyse,,,,,https://dictionary.dynamobim.com/
,Note,Dynamo,Workspace,Places a free text note on the canvas explaining what a section of the graph does. Graphs are read far more often than written — a few notes turn a private puzzle into a tool colleagues can trust.,Ctrl+W,Native,beginner,documentation|workspace,document|organise,,annotate,,,https://dictionary.dynamobim.com/
,Group,Dynamo,Workspace,"Wraps selected nodes in a coloured, titled container — inputs, processing, outputs — so the graph reads as a storyboard. Consistent grouping and colour conventions are the mark of a shareable script.",Ctrl+G,Native,beginner,organisation|workspace,organise|document,,,,,https://dictionary.dynamobim.com/
