id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Line,SketchUp,Draw,"Draws straight edges point to point, healing them into faces the moment a loop closes. The bedrock of SketchUp drafting — used constantly for sketching plans on the ground plane and tracing over imported CAD before pulling walls up.",L,,beginner,draw|edge|sketch|drafting,create,curve,,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Freehand,SketchUp,Draw,"Draws loose, hand-sketched curves as a chain of small edges. Handy for organic site boundaries, planting outlines or a deliberately sketchy annotation over a formal model.",,,beginner,draw|sketch|organic|curve,create,curve,,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Rectangle,SketchUp,Draw,"Creates a rectangular face from two opposite corners, with exact sizes typed into the Measurements box. The usual starting point for concept massing — draw a footprint, then Push/Pull it into a volume.",R,,beginner,draw|shape|face|massing,create,surface,,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Rotated Rectangle,SketchUp,Draw,"Draws a rectangle at any angle and on any plane by defining an edge first, rather than aligning to the axes. Useful for buildings set off the grid or faces on sloping ground.",,,beginner,draw|shape|angled|face,create,surface,,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Circle,SketchUp,Draw,"Creates a circular face from a centre and radius; the segment count can be typed before or after placing it. Reach for it for columns, roof lights and turning circles — remember SketchUp circles are really polygons, so add segments for smooth curves.",C,,beginner,draw|shape|circle|column,create,curve|surface,,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Polygon,SketchUp,Draw,"Draws a regular inscribed or circumscribed polygon with a typed number of sides. Unlike Circle, extruding it keeps its edges unsoftened, so it reads as a true faceted prism — good for pavilions, bollards and gazebo plans.",,,beginner,draw|shape|polygon|faceted,create,curve|surface,,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Arc,SketchUp,Draw,"Draws an arc from centre, start point and angle, like a compass. Suits setting-out geometry where the centre is known, such as a bay window struck from a fixed point.",,,beginner,draw|arc|curve|setting-out,create,curve,,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,2 Point Arc,SketchUp,Draw,"Draws an arc from two endpoints and a bulge distance, and shows tangent inferences in magenta for smooth corner fillets. The everyday arc tool — most designers use it to round plan corners and draw doors' swing geometry.",A,,beginner,draw|arc|fillet|tangent,create,curve,,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,3 Point Arc,SketchUp,Draw,Defines an arc through three picked points on its curve. Useful when tracing scanned drawings or survey information where you know points the arc must pass through but not its centre.,,,beginner,draw|arc|trace|curve,create,curve,,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Pie,SketchUp,Draw,Draws a closed pie-shaped wedge — an arc plus its two radii — as a single face. Convenient for door swings on plans and for slicing sector diagrams out of circular geometry.,,,beginner,draw|arc|wedge|door-swing,create,curve|surface,,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Push/Pull,SketchUp,Tools,"Extrudes a face along its normal to add or carve away volume, with exact distances typed in. SketchUp's signature move: pull footprints into massing blocks, push openings through walls, and double-click to repeat the last distance.",P,,beginner,extrude|massing|modify|volume,create|edit,surface|solid,thicken|cut,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Push/Pull Copy (Ctrl),SketchUp,Tools,Tapping Ctrl (Option on Mac) during Push/Pull leaves the original face behind and extrudes a new slab from it. Ideal for stacking floor plates from one footprint or stepping a terraced form without redrawing.,"P, then Ctrl",,intermediate,extrude|modifier|floor-plates|massing,create|edit,surface|solid,thicken|copy,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Move,SketchUp,Tools,"Moves entities from a picked base point to a destination, locking to axes with the arrow keys and taking typed distances. Also stretches raw geometry when you grab an edge or vertex, so it doubles as SketchUp's stretch tool.",M,,beginner,move|stretch|transform|inference,transform|edit,curve|surface|solid,move,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Move Copy (Ctrl),SketchUp,Tools,"Tapping Ctrl (Option on Mac) while moving duplicates the selection instead of displacing it. This is the standard way to copy anything in the model — furniture, trees, whole buildings — with a precise offset typed afterwards.","M, then Ctrl",,beginner,copy|duplicate|modifier|transform,transform|edit,curve|surface|solid,move|copy,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Linear Array (Move ×/÷),SketchUp,Tools,"After a Move-copy, typing a value such as 5x repeats the copy five times at the same spacing, while /5 divides the distance into five equal steps. The quickest way to array columns down a grid, balusters along a stair or trees along an avenue.","M, then Ctrl, then n× or /n",,intermediate,array|repeat|grid|copy,transform|create,solid|surface,copy|array,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Rotate,SketchUp,Tools,"Rotates a selection about a picked point, with the protractor cursor snapping to the plane it hovers over and exact angles typed in. Also folds raw geometry along an edge, useful for tilting roof planes.",Q,,beginner,rotate|transform|protractor|fold,transform|edit,curve|surface|solid,rotate,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Radial Array (Rotate ×/÷),SketchUp,Tools,"A Rotate-copy followed by typing n× or /n produces a polar array around the rotation centre. Reach for it when placing chairs around a table, treads on a spiral stair or mullions around a drum.","Q, then Ctrl, then n× or /n",,intermediate,array|radial|rotate|copy,transform|create,solid|surface,rotate|copy|array,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Scale,SketchUp,Tools,"Resizes a selection by dragging its grips, uniformly from the corners or in one direction from face grips, with factors or exact dimensions typed in. Ctrl scales about the centre and negative values mirror — a common trick for flipping components.",S,,beginner,scale|resize|transform|mirror,transform|edit,curve|surface|solid,scale|mirror,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Offset,SketchUp,Tools,"Copies a face's boundary or a chain of edges parallel to itself at a typed distance, inward or outward. The staple for wall thicknesses in plan, window reveals and path edges — offset the footprint, then Push/Pull the ring.",F,,beginner,offset|walls|parallel|plan,create|edit,curve|surface,offset,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Follow Me,SketchUp,Tools,"Sweeps a profile face along a path of edges to create extrusions that turn corners — think gutters, skirtings, cornices and handrails. Pre-selecting the path then clicking the profile gives the most predictable result; sweeping around a circle also produces lathe-like forms such as domes and balusters.",,,intermediate,sweep|profile|moulding|lathe,create,surface|solid,thicken,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Intersect Faces,SketchUp,Edit,"Draws real edges wherever the selected geometry crosses other faces (With Model, With Selection or With Context). The manual Boolean workhorse in every SketchUp edition — intersect a pitched roof with walls, then erase the waste by hand.",,,intermediate,intersect|boolean|trim|roof,edit,surface|solid,cut|split,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Outer Shell,SketchUp,Tools,"Merges overlapping solid groups or components into one solid, discarding all internal faces. Handy for cleaning up massing studies built from overlapping blocks before export or 3D printing.",,,intermediate,solid|boolean|merge|cleanup,edit,solid,join,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Union,SketchUp,Tools,"A Solid Tools operation that fuses two or more solids into a single solid, keeping any internal voids. Use it to weld a porch into a house block once the composition is settled; requires watertight groups or components.",,,intermediate,solid-tools|boolean|merge|solid,edit,solid,join,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
,Subtract,SketchUp,Tools,A Solid Tools operation that removes the first solid from the second and deletes the cutter. The clean way to carve a stair void from a floor slab or bore service openings through a solid wall group.,,,intermediate,solid-tools|boolean|carve|void,edit,solid,cut,,,https://help.sketchup.com/en/sketchup/quick-reference-cards
