id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,LINE,AutoCAD,Home — Draw,"Draws straight segments between picked points, with each segment created as a separate object. The bread-and-butter drafting tool for setting out walls, gridlines and quick construction geometry.",L,,beginner,draw|line|2d|basics,create,curve,,,,https://www.autodesk.com/shortcuts/autocad
,PLINE,AutoCAD,Home — Draw,"Draws a polyline: a chain of line and arc segments that behaves as a single object. Architects prefer it over LINE for wall outlines, site boundaries and anything that will later be offset, hatched or measured as one entity.",PL,,beginner,draw|polyline|2d,create,curve,,,,https://www.autodesk.com/shortcuts/autocad
,POLYGON,AutoCAD,Home — Draw,"Creates a regular polygon with 3 to 1024 sides, either inscribed in or circumscribed about a reference circle, or defined by one edge. Handy for column profiles, bolt patterns and paving modules.",POL,,beginner,draw|polygon|shape,create,curve,,,,https://www.autodesk.com/shortcuts/autocad
,RECTANG,AutoCAD,Home — Draw,"Draws a rectangular closed polyline from two corner points, with options for fillet or chamfer corners, rotation and exact dimensions. A faster route to rooms, panels and title blocks than four separate lines.",REC,,beginner,draw|rectangle|2d,create,curve,,,,https://www.autodesk.com/shortcuts/autocad
,ARC,AutoCAD,Home — Draw,"Creates an arc using combinations of start, centre, end, angle, radius and direction. The default three-point method suits tracing curved walls; the start-centre-end method is the usual pick for door swings.",A,,beginner,draw|arc|curve,create,curve,,,,https://www.autodesk.com/shortcuts/autocad
,CIRCLE,AutoCAD,Home — Draw,"Draws a circle by centre and radius, diameter, two or three points, or tangency to existing objects. Used constantly for columns, trees, service penetrations and setting-out radii.",C,,beginner,draw|circle|2d,create,curve,,,,https://www.autodesk.com/shortcuts/autocad
,ELLIPSE,AutoCAD,Home — Draw,"Creates an ellipse or elliptical arc from axis endpoints, or an isometric circle when isometric drafting is active. Useful for ramps in plan, oval rooflights and 2D isometric details.",EL,,beginner,draw|ellipse|isometric,create,curve,,,,https://www.autodesk.com/shortcuts/autocad
,SPLINE,AutoCAD,Home — Draw,"Draws a smooth NURBS curve through fit points or by control vertices. Reach for it when tracing site contours, landscape edges or any freeform profile that lines and arcs cannot follow gracefully.",SPL,,intermediate,draw|spline|freeform,create,curve,smooth,,,https://www.autodesk.com/shortcuts/autocad
,XLINE,AutoCAD,Home — Draw,"Creates a construction line of infinite length through a point, optionally horizontal, vertical, angled, bisecting or offset. Drafters use xlines as temporary datums and projection lines between plan, section and elevation.",XL,,beginner,draw|construction line|datum,create,curve,,,,https://www.autodesk.com/shortcuts/autocad
,RAY,AutoCAD,Home — Draw,Draws a construction line that starts at a point and extends infinitely in one direction only. A tidier alternative to XLINE when projecting from a fixed origin such as a vanishing point or datum level.,,,beginner,draw|construction line,create,curve,,,,https://www.autodesk.com/shortcuts/autocad
,POINT,AutoCAD,Home — Draw,"Places a point object at a picked or typed coordinate, displayed according to the current point style. Common for survey stations and setting-out markers that can be snapped to with the Node osnap.",PO,,beginner,draw|point|marker,create,point,,,,https://www.autodesk.com/shortcuts/autocad
,DIVIDE,AutoCAD,Home — Draw,"Places point objects or blocks at an equal number of intervals along a line, arc, polyline or spline. Ideal for spacing balusters, mullions or planting evenly along an edge.",DIV,,intermediate,draw|spacing|setting out,create|edit,point|curve,array,,,https://www.autodesk.com/shortcuts/autocad
,MEASURE,AutoCAD,Home — Draw,"Places point objects or blocks along an object at a specified repeating distance rather than an equal count. Use it to set out fixings, fence posts or stud centres at a fixed spacing.",ME,,intermediate,draw|spacing|setting out,create|edit,point|curve,array|measure,,,https://www.autodesk.com/shortcuts/autocad
,HATCH,AutoCAD,Home — Draw,"Fills an enclosed area or selected boundary with a pattern, solid or user-defined fill. The standard way to show materials in section, floor finishes and poché on plans.",H,,beginner,hatch|pattern|fill,create|document,curve,,,,https://www.autodesk.com/shortcuts/autocad
,GRADIENT,AutoCAD,Home — Draw,"Fills a closed area with a one- or two-colour gradient instead of a hatch pattern. Useful for presentation plans, sky tones in elevations and subtle shading without leaving AutoCAD.",GD,,beginner,gradient|fill|presentation,create|visualise,curve,,,,https://www.autodesk.com/shortcuts/autocad
,REGION,AutoCAD,Home — Draw,"Converts closed loops of lines, arcs and polylines into 2D region objects that support union, subtract and intersect. Useful for accurate area calculations and as profiles for 3D extrusion.",REG,,intermediate,region|boolean|area,create|analyse,surface|curve,,,,https://www.autodesk.com/shortcuts/autocad
,BOUNDARY,AutoCAD,Home — Draw,"Creates a closed polyline or region by picking a point inside an enclosed area, tracing the surrounding edges automatically. A quick way to extract room outlines for area schedules without redrawing them.",BO,,intermediate,boundary|polyline|area,create|analyse,curve,,,,https://www.autodesk.com/shortcuts/autocad
,DONUT,AutoCAD,Home — Draw,"Draws a filled ring or solid dot defined by inside and outside diameters. Traditionally used for terminal points, drainage symbols and heavy dots on diagrams.",DO,,beginner,draw|donut|symbol,create,curve,,,,https://www.autodesk.com/shortcuts/autocad
,REVCLOUD,AutoCAD,Home — Draw,"Draws a revision cloud freehand, rectangular or polygonal, or converts an existing closed object into one. The standard graphic for flagging amended areas on issued drawings alongside a revision triangle.",,,beginner,revision|cloud|markup,create|document,curve|annotation,annotate,,,https://www.autodesk.com/shortcuts/autocad
,WIPEOUT,AutoCAD,Home — Draw,"Creates a polygonal mask that blanks out whatever sits beneath it, with an optional visible frame. Drafters use wipeouts behind labels and symbols so text stays legible over dense linework.",,,intermediate,mask|wipeout|presentation,create|document,curve,,,,https://www.autodesk.com/shortcuts/autocad
,DRAWORDER,AutoCAD,Home — Modify,"Changes which objects display in front of or behind others, including bring-to-front and send-to-back options. Essential for keeping hatches under linework and wipeouts under text.",DR,,beginner,display order|overlap,organise|visualise,,,,,https://www.autodesk.com/shortcuts/autocad
,HELIX,AutoCAD,Home — Draw,"Creates a 2D spiral or 3D helix defined by base radius, top radius, height and turns. Typically used as a sweep path for spiral stairs, ramps and coiled elements.",,,intermediate,helix|spiral|3d,create,curve,,,,https://www.autodesk.com/shortcuts/autocad
,MLINE,AutoCAD,Command line,Draws multiple parallel lines in one pass using a saved multiline style. A legacy but still handy tool for cavity walls and partitions in pure 2D drafting.,ML,,intermediate,multiline|wall|parallel,create,curve,offset,,,https://www.autodesk.com/shortcuts/autocad
,TABLE,AutoCAD,Home — Annotation,"Inserts a table object with rows, columns, formulas and optional data links to spreadsheets. The native way to build door schedules, drawing issue sheets and area tables that stay editable.",TB,,intermediate,table|schedule|annotation,create|document,annotation,annotate,,,https://www.autodesk.com/shortcuts/autocad
,MTEXT,AutoCAD,Home — Annotation,"Creates a multiline text object inside a defined boundary, with an in-place editor for formatting, columns, bullets and fields. The default choice for general notes and specification text on drawings.",MT,,beginner,text|notes|annotation,create|document,annotation,annotate,,,https://www.autodesk.com/shortcuts/autocad
,TEXT,AutoCAD,Home — Annotation,"Places single-line text, with each line created as an independent object and live preview as you type. Quicker than MTEXT for short labels such as room names, levels and grid references.",DT,,beginner,text|label|annotation,create|document,annotation,annotate,,,https://www.autodesk.com/shortcuts/autocad
,MOVE,AutoCAD,Home — Modify,"Relocates selected objects by a base point and second point, or by typed displacement. One of the first commands every drafter learns and among the most used every day.",M,,beginner,modify|move|basics,transform,,move,,,https://www.autodesk.com/shortcuts/autocad
,COPY,AutoCAD,Home — Modify,"Duplicates selected objects to one or more new positions, repeating until you press Enter, with an Array option for evenly spaced copies. The workhorse for repeating fittings, furniture and details across a plan.",CO,,beginner,modify|copy|duplicate,transform|create,,copy,,,https://www.autodesk.com/shortcuts/autocad
,ROTATE,AutoCAD,Home — Modify,Spins selected objects about a base point by a typed angle or a reference angle picked from existing geometry. The Reference option is the trick for squaring up survey drawings that arrive slightly askew.,RO,,beginner,modify|rotate,transform,,rotate,,,https://www.autodesk.com/shortcuts/autocad
