id,name,software,menu,description,shortcut,addon,difficulty,tags,intent_categories,object_types,outcomes,icon,gif,source
,Bake Objects,Grasshopper,Elefront — Bake,"Bakes geometry into the Rhino document with full control of layer, name, colour and user attributes, replacing earlier bakes of the same objects. It turns Grasshopper into a documentation pipeline, keeping the Rhino file organised automatically.",,Elefront,intermediate,elefront|bake|layers|attributes|documentation,document|organise,curve|surface|solid|mesh|point|layer,,,,https://www.grasshopper3d.com/
,Define Object Attributes,Grasshopper,Elefront — Attributes,"Builds an attribute set — layer, object name, colour and user text key-values — to accompany geometry when baking. Attach data such as panel IDs so downstream schedules and fabrication files stay linked to geometry.",,Elefront,intermediate,elefront|attributes|metadata|bim|data,organise|document,layer,,,,https://www.grasshopper3d.com/
,Reference by Layer,Grasshopper,Elefront — Reference,"References Rhino geometry onto the canvas by layer name, keeping the link live as the layer's contents change. With baking components it enables round-trip workflows between the model and the definition.",,Elefront,intermediate,elefront|reference|layers|live link,organise,curve|surface|solid|mesh|point|layer,,,,https://www.grasshopper3d.com/
,Galapagos,Grasshopper,Params — Util,"An evolutionary solver that repeatedly adjusts chosen sliders to minimise or maximise a single fitness value. Use it to search for optima a human would struggle to find, such as the panel layout with least material waste.",,Galapagos,advanced,galapagos|optimisation|evolutionary|solver|fitness,analyse,,,,,https://www.grasshopper3d.com/
,HB Annual Daylight,Grasshopper,Honeybee-Radiance — Recipes,"Runs an annual daylight simulation with Radiance over a Honeybee model, returning metrics such as daylight autonomy for each sensor grid. Use it to evidence daylight standards and compare design options.",,Honeybee,advanced,honeybee|daylight|radiance|annual|simulation,analyse|visualise,mesh,measure,,,https://www.grasshopper3d.com/
,HB Aperture,Grasshopper,Honeybee — Create,"Creates window apertures from surfaces and assigns them to room faces. Apertures carry glazing properties, so they control daylight and solar gains in downstream simulations.",,Honeybee,advanced,honeybee|window|glazing|daylight|simulation,analyse|create,surface,,,,https://www.grasshopper3d.com/
,HB Model,Grasshopper,Honeybee — Create,"Assembles rooms, apertures, shades and context into a single Honeybee model object ready for simulation. All Honeybee recipes consume a model, making this the final packaging step before analysis.",,Honeybee,advanced,honeybee|model|assembly|simulation,analyse|organise,solid|surface,,,,https://www.grasshopper3d.com/
,HB Room from Solid,Grasshopper,Honeybee — Create,"Converts closed solid volumes into Honeybee rooms — the zoned building blocks of energy and daylight models — deriving faces, boundary conditions and adjacencies. It is the bridge from massing model to simulation model.",,Honeybee,advanced,honeybee|energy|room|zone|simulation,analyse|create,solid,,,,https://www.grasshopper3d.com/
,Create/Modify Layers,Grasshopper,Human — Layers,"Creates Rhino layers, including nested hierarchies, and sets their colours and states from Grasshopper. Use it to build a project layer structure automatically before baking geometry into it.",,Human,intermediate,human|layers|document|organisation,organise|document,layer,,,,https://www.grasshopper3d.com/
,Custom Preview Materials,Grasshopper,Human — Preview,"Previews geometry with render materials including transparency, shine and textures, going well beyond the flat colours of the native preview. Use it for presentation-quality viewport captures straight from the definition.",,Human,intermediate,human|preview|materials|rendering|visualisation,visualise,curve|surface|solid|mesh,,,,https://www.grasshopper3d.com/
,Anchor,Grasshopper,Kangaroo2 — Goals-Pts,"A goal that pins chosen points in place (or pulls them towards targets) during a Kangaroo simulation. Anchors define the supports of a form-found structure, such as the corners of a hanging membrane.",,Kangaroo,advanced,kangaroo|goal|constraint|support,analyse,point,,,,https://www.grasshopper3d.com/
,Length (Line),Grasshopper,Kangaroo2 — Goals-Lin,"A goal that makes line segments try to reach a target length with a given strength, behaving like springs. Networks of these springs relax gridshells and cable nets into efficient shapes.",,Kangaroo,advanced,kangaroo|goal|spring|form finding,analyse|transform,curve,,,,https://www.grasshopper3d.com/
,Load,Grasshopper,Kangaroo2 — Goals-Pts,"A goal that applies a force vector, such as gravity, to points in the simulation. Combine loads with springs and anchors to hang chains and drape membranes that invert into compression forms.",,Kangaroo,advanced,kangaroo|goal|force|gravity|form finding,analyse,point,,,,https://www.grasshopper3d.com/
,OnMesh,Grasshopper,Kangaroo2 — Goals-Pts,A goal that constrains points to remain on a target mesh while other goals act on them. Use it to relax patterns or pack circles across a doubly curved skin without leaving the surface.,,Kangaroo,advanced,kangaroo|goal|constraint|surface,analyse|transform,mesh|point,,,,https://www.grasshopper3d.com/
,Solver,Grasshopper,Kangaroo2 — Main,"The physics engine at the heart of Kangaroo: it takes a list of goal objects and iteratively moves particles until the goals reach equilibrium. Use it for form-finding, relaxation and constraint solving, with a reset input to restart the simulation.",,Kangaroo,advanced,kangaroo|physics|form finding|simulation|parametric,analyse|transform,mesh|curve|point,,,,https://www.grasshopper3d.com/
,SphereCollide,Grasshopper,Kangaroo2 — Collision,"A goal that keeps a set of points at least a sphere-diameter apart, resolving collisions between many objects efficiently. Use it for circle packing and evenly distributing elements across surfaces.",,Kangaroo,advanced,kangaroo|goal|collision|packing,analyse|transform,point|mesh,,,,https://www.grasshopper3d.com/
,Analyze,Grasshopper,Karamba3D — Algorithms,"Runs a linear elastic analysis on an assembled model, computing displacements, forces and utilisation. Its outputs feed result viewers and optimisation loops, closing the design-analysis cycle inside Grasshopper.",,Karamba3D,advanced,karamba|structure|analysis|fem|engineering,analyse,curve|mesh,measure,,,https://www.grasshopper3d.com/
,Assemble Model,Grasshopper,Karamba3D — Model,"Gathers elements, supports, loads, materials and cross-sections into a complete Karamba structural model. The assembled model is the single object passed on to the analysis components.",,Karamba3D,advanced,karamba|structure|assembly|model,analyse|organise,curve|point,,,,https://www.grasshopper3d.com/
,Line to Beam,Grasshopper,Karamba3D — Model,"Converts line geometry into Karamba beam elements, with identifiers for later property assignment. It is the first step in turning a wireframe structural concept into an analysable model.",,Karamba3D,advanced,karamba|structure|beam|model|engineering,analyse|create,curve,,,,https://www.grasshopper3d.com/
,Loads,Grasshopper,Karamba3D — Load,"Creates structural loads — gravity, point, line or mesh loads — for the model. Combine several load types into cases to test how the structure responds.",,Karamba3D,advanced,karamba|structure|load|force|engineering,analyse,point|curve|mesh,,,,https://www.grasshopper3d.com/
,Model View,Grasshopper,Karamba3D — Results,"Displays an analysed Karamba model with deformation, force diagrams and utilisation colouring in the viewport. Use it to read results visually and communicate structural behaviour to the design team.",,Karamba3D,advanced,karamba|structure|results|visualisation,visualise|analyse,curve|mesh,,,,https://www.grasshopper3d.com/
,Support,Grasshopper,Karamba3D — Model,"Defines support conditions at points, fixing or releasing each translation and rotation. Supports anchor the structural model, and their conditions strongly shape the resulting forces.",,Karamba3D,advanced,karamba|structure|support|boundary condition,analyse,point,,,,https://www.grasshopper3d.com/
,LB Direct Sun Hours,Grasshopper,Ladybug — Analyze Geometry,"Counts the hours of direct sunlight received by geometry for given sun vectors, accounting for surrounding context as obstructions. A staple for rights-of-light studies and outdoor comfort checks.",,Ladybug,intermediate,ladybug|sunlight|shadow|daylight|analysis,analyse|visualise,mesh|surface,measure,,,https://www.grasshopper3d.com/
,LB Import EPW,Grasshopper,Ladybug — Import,"Reads an EnergyPlus weather file (EPW) and outputs its climate data streams: temperatures, radiation, wind, humidity and more. Every Ladybug study starts here, so the location's real climate drives the analysis.",,Ladybug,intermediate,ladybug|weather|epw|climate|environment,analyse,,,,,https://www.grasshopper3d.com/
,LB Incident Radiation,Grasshopper,Ladybug — Analyze Geometry,"Calculates the solar radiation falling on test geometry over a period, using a cumulative sky from the weather file, and colours the mesh with the results. Use it to compare facade options or locate photovoltaic potential.",,Ladybug,advanced,ladybug|radiation|solar|facade|analysis,analyse|visualise,mesh|surface,measure,,,https://www.grasshopper3d.com/
,LB SunPath,Grasshopper,Ladybug — Visualize Data,"Draws an interactive sun-path diagram for a location and reports sun position vectors for chosen dates and times. Use the vectors to test shadows, orient massing or drive shading design.",,Ladybug,intermediate,ladybug|sun|solar|daylight|site analysis,analyse|visualise,curve|point,,,,https://www.grasshopper3d.com/
,LB Wind Rose,Grasshopper,Ladybug — Visualize Data,"Plots a wind rose from hourly weather data, showing the frequency, direction and speed of winds at the site. Use it to inform natural ventilation strategy and outdoor space placement.",,Ladybug,intermediate,ladybug|wind|climate|site analysis|visualisation,analyse|visualise,,,,,https://www.grasshopper3d.com/
